Title,Summary,Time
"Τους ψήφισαν, τους επέτρεψαν, είναι καιρός να αντιδράσουν!", Εδώ και λίγες μέρες με τις ψήφους μόνο της Ν.Δ. αποτελεί νόμο του κράτους το νέο εργασιακό νομοσχέδιο ή καλύτερα η ταφόπλακα των δικαιωμάτων και των κεκτημένων των εργαζομένων.,"08.07.2021, 16:00"
"Τώρα και για τους εκπαιδευτικούς, μόρια αντί για αμοιβή!", Τη λειτουργία «εκπαιδευτικών ομίλων» μετά τη λήξη του ημερήσιου ωρολογίου προγράμματος διδασκαλίας προβλέπει το νέο νομοσχέδιο του υπουργείου Παιδείας.,"05.07.2021, 10:27"
Οι κρίσεις και το δόγμα του ατομισμού, Σκεφτείτε τι θα γινόταν αν ο καύσωνας της προηγούμενης εβδομάδας διαρκούσε περισσότερο και οι θερμοκρασίες ήταν υψηλότερες. [...] Οποιαδήποτε δραστηριότητα σε εξωτερικό χώρο που θα συνεπάγεται σωματική...,"05.07.2021, 04:00"
Το ασφαλιστικό των millennials," Είναι αναγκαίο να υπάρξει αλλαγή υποδείγματος στο ασφαλιστικό αλλά και σε πολλούς ακόμη τομείς της δημόσιας ζωής. Η εισαγωγή της ανταποδοτικότητας στις επικουρικές συντάξεις, η δημιουργία δηλαδή ενός ατομικού...","04.07.2021, 10:26"
Της Αλλοπάρ*," Οι συλλεκτικές, διασκεδαστικές και, γενικά, απολαυστικές εκπομπές στο ραδιόφωνο του ΣΚΑΪ.","03.07.2021, 06:00"
Τσίπρας: Νέα αρχή με στόχο τη νίκη απέναντι στη Δεξιά του κ. Μητσοτάκη," Λάβρος κατά της κυβέρνησης και του πρωθυπουργού ο Α. Τσίπρας, σημαίνοντας προσκλητήριο σε προεκλογικό αγώνα για να φύγει η κυβέρνηση της Ν.Δ.","02.07.2021, 21:31"
Γεννηματά: «Για την πανδημία δεν αρκεί η επικοινωνία»," Τον επικοινωνιακό τρόπο με τον οποίο επιλέγει η κυβέρνηση να διαχειρίζεται την πανδημία και σε αυτή τη φάση της στηλιτεύει το Κίνημα Αλλαγής, επισημαίνοντας ότι ο κίνδυνος και λόγω μεταλλάξεων παραμένει...","02.07.2021, 06:00"
"Ιδιος ο στόχος, αλλάζει μόνο ο τρόπος", Στόχος της Δεξιάς είναι η δημιουργία ενός καθεστώτος και ενός συστήματος που θα της επιτρέπει να ελέγχει την εξουσία ακόμη και εκτός κυβέρνησης.,"28.06.2021, 16:00"
Υποτιμώντας μέχρι θανάτου τη γυναίκα, Η ρίζα του κακού βρίσκεται στον τρόπο εγγραφής των φύλων στο γλωσσικό σύστημα γύρω από τον άξονα της πατριαρχικής εξουσίας.,"27.06.2021, 15:41"
Στην Ελλάδα το να ονομαστείς σκηνοθέτης θεωρείται προβιβασμός," Ερμηνεύει τον Οθέλλο στο έργο του Σέξπιρ, επικεφαλής ενός 11μελούς θιάσου που μόλις ξεκίνησε περιοδεία 45 παραστάσεων σ’ όλη την Ελλάδα.","27.06.2021, 11:12"
Από το ΔΝΤ στα εθνικά σφαγεία," Πέρασαν ήδη ακριβώς τριάντα χρόνια από τότε. Στις 25 Ιουνίου 1991 οι δύο βορειότερες (και πλουσιότερες) ομόσπονδες Δημοκρατίες της Γιουγκοσλαβίας, η Σλοβενία και η Κροατία, κήρυξαν την ανεξαρτησία τους.","27.06.2021, 10:33"
Η ανασυγκρότηση του ελληνικού αστισμού," Τα άτομα χωρίζονται σε φοβικά και τολμηρά, ικανά και ανίκανα, νικητές και ηττημένους... Ο νέος κόσμος δεν τους χωρά όλους. Καλεί όμως όλους να ανταγωνιστούν για μια θέση σ’ αυτόν.","27.06.2021, 09:50"
Φ. Γεννηματά: O κόσμος αλλάζει και αναζητάει νέες απαντήσεις," «Η κυβέρνηση της Νέας Δημοκρατίας, στη μέση της θητείας της, έχει βάλει τη συντηρητική της σφραγίδα σε όλους τους τομείς της κοινωνικής και οικονομικής ζωής», ανέφερε στην ομιλία της στο Ηράκλειο, κατά τη...","26.06.2021, 22:53"
Ξανα-ορίζοντας τη «γυναίκα», Αποτελεί υπόθεση όλης της κοινωνίας να σταθεί ενάντια στη λογική της ανάθεσης και καθεμία και καθένας να αποτελέσει μέρος της αναθεώρησης της αφετηριακής βάσης προσέγγισης του έμφυλου ζητήματος.,"25.06.2021, 16:00"
Η επιστροφή του «Μαυρογιαλουρισμού» στην εκπαίδευση," Το τελευταίο διάστημα έχουν γίνει καθημερινές οι καταγγελίες για τη λειτουργία διαφόρων ""δοτών"" Υπηρεσιακών Συμβουλίων, ΠΥΣΠΕ και ΠΥΣΔΕ σε αρκετές περιοχές, που επαναφέρουν μεθόδους οι οποίες ανήκουν σε άλλες...","25.06.2021, 14:31"
Η (αυτ)απάτη της ιδιωτικής σύνταξης, «Ασφαλιστική μεταρρύθμιση για τη νέα γενιά» είναι ο τίτλος για την ιδιωτικοποίηση της επικουρικής όλων των ασφαλισμένων απ'τις αρχές της επόμενης χρονιάς,"25.06.2021, 08:30"
"Μιχάλης, Κωστής, Αδωνις: μένουν ή φεύγουν;"," Στη δημοσκόπηση της ALCO για την τηλεόραση του OPEN έχουμε ορισμένα ενδιαφέροντα ευρήματα. Για παράδειγμα: Στο θέμα της ασφάλειας, που ήταν ένα από τα κεντρικά ζητήματα της Δεξιάς, η κυβέρνηση Μητσοτάκη δεν τα...","24.06.2021, 16:00"
Ηράκλειο: Ζητούν την ανάκληση των απολύσεων στα Jumbo," Την ανάκληση των απολύσεων έξι εργαζομένων που απολύθηκαν από το κατάστημα Jumbo του Ηρακλείου, ζητούν σωματεία εργαζομένων της Κρήτης.","24.06.2021, 12:24"
Eνα θερμό πολιτικό καλοκαίρι, Δέκα μέρες πριν από τη διεξαγωγή της προγραμματικής συνδιάσκεψης του ΣΥΡΙΖΑ-Π.Σ. συνεδρίασε χθες το Πολιτικό Συμβούλιο του κόμματος υπό τον Αλέξη Τσίπρα και λίγο πριν ο τελευταίος αναχωρήσει για το ταξίδι του...,"24.06.2021, 09:31"
Ορθολογισμός: το «φάρμακο» που προκαλεί φτώχεια," Φθονερή και ύπουλη λέξη ο εξορθολογισμός. Χωρίς να σημαίνει τίποτα, μπορεί να δικαιολογήσει και τις πιο θανατερές αποφάσεις.","23.06.2021, 16:00"
Έπλεξε το εγκώμιο σε τρεις αντιμεταρρυθμίσεις," «Κομβικές πρωτοβουλίες» χαρακτήρισε ο πρωθυπουργός τις τρεις αντιμεταρρυθμίσεις σε ασφαλιστικό, παιδεία και αστυνομία, κατά τη συνεδρίαση του υπουργικού συμβουλίου. Πυρ ομαδόν από την αντιπολίτευση.","23.06.2021, 15:54"
Αλ. Τσίπρας: Ο Κ. Μητσοτάκης ξεδιπλώνει τώρα την πραγματική του ατζέντα ," «Οι πληγές της κρίσης και του αποτυχημένου λοκντάουν ωστόσο, τόσο σε υγειονομικό επίπεδο όσο και σε οικονομικό και κοινωνικό, είναι παρούσες. Μεγαλύτερη πληγή είναι η διεύρυνση των ανισοτήτων» τόνισε στο...","23.06.2021, 14:45"
Ωρα Ευρώπης για τη Γεννηματά," Για ένα σημαντικό τριήμερο από αύριο μέχρι το Σάββατο, σε Βρυξέλλες και Βερολίνο παρουσία ομολόγων της από διάφορα σοσιαλιστικά κόμματα στην Ευρώπη, σοσιαλδημοκρατών πρωθυπουργών ή ηγετών που συμμετέχουν σε...","23.06.2021, 10:10"
Πλώρη για εργασιακό μεσαίωνα," Η Ν.Δ. ψήφισε μόνη της, απομονωμένη από όλα τα υπόλοιπα κόμματα και από την ελληνική κοινωνία, την κατάργηση του οκταώρου, τις απλήρωτες υπερωρίες, τις μειώσεις μισθών, την απελευθέρωση των απολύσεων ασχέτως...","23.06.2021, 06:00"
Αποδοκιμασία για το νομοσχέδιο Χατζηδάκη από τους πολίτες, Το αντεργατικό νομοσχέδιο της κυβέρνησης που έλαβε θετική ψήφο μόνο από το κυβερνών κόμμα δε συγκεντρώνει θετικές γνώμες από την κοινή γνώμη σύμφωνα με νέα δημοσκόπηση που είδε το φως της δημοσιότητας. Σύμφωνα...,"22.06.2021, 20:38"
Νομάδες," Η λέξη επανήλθε στην επικαιρότητα με αφορμή την αμερικανική ταινία «Η χώρα των νομάδων» (Κλόι Ζάο). Ενα φιλμ αποφλοιωμένο από διαλόγους, μόνο τα απαραίτητα λόγια.","22.06.2021, 16:00"
Δυστοπικό το μέλλον στην εκπαίδευση για την πλειονότητα των μαθητών," Η κυβέρνηση, την ίδια ώρα που υψώνει τείχη ανισότητας και αποκλεισμών στο εκπαιδευτικό σύστημα, την ίδια ακριβώς ώρα προσπαθεί να διαμορφώσει ένα εφιαλτικό εργασιακό μέλλον για τους αποφοίτους του.","22.06.2021, 11:49"
