Time,Title,Summary,year,month,day,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
2021-06-23 19:54:00,εφκα παράταση στην υποβολή αιτήσεων για το κατασκηνωτικό πρόγραμμα του φετινού καλοκαιριού,η υποβολή των αιτήσεων γίνεται στην ιστοσελίδα του εφκα και αφορά μία από τις πέντε κατασκηνωτικές περιόδους του φετινού καλοκαιριού,2021,Jun,23,0,0,0,0,0,0,0,0,0,0
2021-06-23 12:14:00,αδέσμευτη φωνή υπαλλήλων οαεδ πάνω από 30000 δανειολήπτες τοεκ δεν έχουν κάνει αίτηση για ευνοϊκές ρυθμίσεις,η προθεσμία για τις αιτήσεις ένταξης στις ευνοϊκές ρυθμίσεις αποπληρωμής οφειλών των δανειοληπτών οεκ με ταυτόχρονο κούρεμα αρχικού ποσού δανείου κατά 15 των δανείων λήγει σε λίγες ημέρες 3062021 λεεί η αδέσμευτη φωνή του οαεδ,2021,Jun,23,0,0,0,0,0,0,0,0,0,0
2021-06-23 10:41:00,οαεδ ξεκινάνε οι αιτήσεις για τα elearning κατάρτισης εργαζομένων λαεκ,πρεμιέρα για τις αιτήσεις για τα elearning κατάρτισης εργαζομένων λαεκ στο πρόγραμμα μπορούν να λάβουν μέρος ιδιωτικές επιχειρήσεις και φορείς του δημόσιου τομέα πώς γίνεται η όλη διαδικασία υποβολής ελέγχου και αποπληρωμής των προγραμμάτων κατάρτισης,2021,Jun,23,0,2,0,0,0,0,0,0,0,1
2021-06-23 06:56:00,βγαίνουν τα αποτελέσματα για τον κοινωνικό τουρισμό του οαεδ,μέσα στις επόμενες ημέρες ίσως και αυτή την εβδομάδα αναμένεται να δημοσιοποιηθούν τα προσωρινά στοιχεία των δικαιούχων του κοινωνικού τουρισμού 20212022 του οαεδ σύμφωνα με πληροφορίες του dnews,2021,Jun,23,0,1,0,0,0,0,0,0,0,0
2021-06-23 06:39:00,συνεργασια πως θα καταβληθεί το επίδομα αδείας στους εργαζόμενους,ξεκινάει σήμερα και μέχρι την δευτέρα 28 ιουνίου η υποβολή των δηλώσεων για τον μηχανισμό συνεργασια του μαΐου β φάση,2021,Jun,23,0,1,0,0,0,1,0,0,0,0
2021-06-22 19:17:00,υπ εργασίας μέτρα προστασίας των εργαζομένων από τον καύσωνα ανακοινώθηκαν έλεγχοι,έλεγχοι ενόψει του καύσωνα για προστασία της ασφάλειας και υγείας των εργαζομένων ανακοίνωσε το υπουργείο εργασίας και κοινωνικών υποθέσεων στην εγκύκλιο επισημαίνονται οι υποχρεώσεις των εργοδοτών καθώς και οι διοικητικές και ποινικές κυρώσεις που προβλέπει η νομοθεσία σε περίπτωση μη συμμόρφωσης,2021,Jun,22,0,1,1,0,0,1,0,0,2,1
2021-06-22 19:04:00,επίδομα 534 ευρώ όλες οι προθεσμίες για αναστολές στο εργανη,ξεκινούν από σήμερα μέχρι τις 30 ιουνίου οι αιτήσεις για την υποβολή δηλώσεων αναστολής συμβάσεων εργασίας για το επίδομα 534 ευρώ για τον ιούνιο στο πς εργανη,2021,Jun,22,0,0,0,0,0,0,0,0,1,0
2021-06-22 11:11:00,τελευταία ευκαιρία για αποσπάσεις  μετατάξεις στο δημόσιο μέχρι σήμερα οι αιτήσεις,τέλος χρόνου σήμερα για τις αίτησεις μετάταξης  απόσπασης στον α κύκλο κινητικότητας του 2021 στο δημόσιο από το υπες,2021,Jun,22,1,1,0,0,0,0,1,0,1,0
2021-06-22 10:50:00,επίδομα αδείας 2021 ποιος θα το πληρώσει σε όσους ήταν σε αναστολή σύμβασης,το επίδομα άδειας για το 2021 θα υπολογιστεί κανονικά για όλους καθώς ο χρόνος της αναστολής υπολογίζεται ως χρόνος εργασίας,2021,Jun,22,0,0,0,0,0,0,2,0,1,0
2021-06-18 20:39:00,οαεδ καταγράφεται μείωση των εγγεγραμμένων ανέργων τον μάιο εικόνα,τα στοιχεία του οαεδ για την ανεργία μαΐου παρουσιάζουν μείωση των εγγεγραμμένων ανέργων πώς κατανέμονται αυτοί ανάμεσα σε άνδρες και γυναίκες,2021,Jun,18,0,0,0,0,0,0,0,0,1,0
2021-06-18 18:16:00,οαεδ από τρίτη οι αιτήσεις επιχειρήσεων για το νέο πρόγραμμα επιδότησης 1000 νέων θέσεων εργασίας,το νέο πρόγραμμα επιδότησης της εργασίας από τον οαεδ για την πρόσληψη 1000 ανέργων που βρίσκονται σε μειονεκτική και ιδιαίτερα μειονεκτική θέση θα ενεργοποιηθεί από την τρίτη 2206,2021,Jun,18,0,0,0,0,0,0,0,0,1,0
