Time,Title,Summary,year,month,day,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
2021-06-26 22:34:00,γεννηματά το αύριο μετά την πανδημία πρέπει να είναι βιώσιμο αλλά και δίκαιο,η κυβέρνηση της νέας δημοκρατίας στη μέση της θητείας της έχει βάλει τη συντηρητική της σφραγίδα σε όλους τους τομείς της κοινωνικής και οικονομικής ζωής,2021,Jun,26,0,2,0,1,0,2,0,0,1,1
2021-06-20 17:00:00,χατζηδάκης για εργασιακό νόμο μεγάλη μεταρρύθμιση ο συριζα καταψήφισε την κατοχύρωση του 8ωρου,μεγάλη μεταρρύθμιση που δίνει παραπάνω δύναμη στους εργαζόμενους και παραπάνω δύναμη στην οικονομία χαρακτηρίζει ο υπουργός εργασίας το νόμο για την προστασία,2021,Jun,20,2,3,0,0,0,3,0,0,3,2
2021-06-17 11:18:00,χατζηδάκης σε σκαϊ από την επόμενη εβδομάδα σε ισχύ η διάταξη για τις παράνομες απεργίες,ήδη από την επόμενη εβδομάδα θα ισχύει η διάταξη του εργασιακού νόμου πως αν μια απεργία κριθεί παράνομη από δικαστήριο δεν μπορεί να επαναπροκηρυχθεί όπως,2021,Jun,17,3,0,0,2,0,2,1,0,3,1
2021-06-17 11:16:00,συνδικαλιστές υπεράνω του νόμου,του βασίλη χιώτημια φορά κι έναν καιρό υπήρχε μια χώρα στην οποία δεν γινόταν τίποτα αν δεν το ήθελαν οι συνδικαλιστέςγια να προσλάβει μια,2021,Jun,17,0,0,0,0,0,0,0,0,0,0
2021-06-16 22:50:00,εργασιακόχατζηδάκης περιμένουμε εξηγήσεις από συριζα για το ρεσιτάλ πολιτικής υποκρισίας,ο νόμος πλέον για την προστασία της εργασίας είναι ένα μεγάλο βήμα μπροστά φέρνει την ελλάδα πιο κοντά στις προηγμένες ευρωπαϊκές χώρες καθώς ακολουθούμε,2021,Jun,16,0,0,0,0,0,1,0,0,1,0
2021-06-16 22:12:00,με 158 ναι από σύσσωμη την κο της νδ υπερψηφίστηκε το εργασιακό νομοσχέδιο,με 158 ναι από σύσσωμη της κοινοβουλευτική ομάδα της νδ που υπερασπίστηκε τις διατάξεις του ως προοδευτικές φιλεργατικές και αναπτυξιακές υπερψηφίστηκε,2021,Jun,16,0,1,0,0,0,2,0,0,1,0
2021-06-16 18:09:00,βαρουφάκης εργασιακό θα σας πολεμήσουμε σε κάθε γωνιά της χώρας,ολομέτωπη αντιπαράθεση με την κυβέρνηση ώστε να ακυρωθεί στην πράξη η εφαρμογή του εργασιακού νόμου εξήγγειλε ο γραμματέας του μέρα 25 γιάνης βαρουφάκης,2021,Jun,16,0,1,0,0,0,2,0,0,2,1
2021-06-16 17:32:00,πορείες στο κέντρο της αθήνα κατά του εργασιακού,σε εξέλιξη είναι στο κέντρο της αθήναςενάντια στο νομοσχέδιο για τα εργασιακά που ψηφίζεται απόψε το βράδυ στη βουλήστην πλατεία συντάγματος το παμε και,2021,Jun,16,0,2,0,0,0,1,0,0,0,0
2021-06-16 16:19:00,μητσοτάκης σε τσίπρα δεν είστε ανδρέας παπανδρέου αποδοκιμάστε τον πολάκη vids,ξέρουμε καλά πως κάθε μεγάλη αλλαγή μπορεί να προκαλέσει αντιδράσεις και αναταράξεις είμαστε πεπεισμένοι όμως πως κάνουμε το σωστό και το καλό πρωτίστως,2021,Jun,16,1,1,0,1,0,1,0,0,1,1
2021-06-16 14:31:00,τσίπρας σε μητσοτάκη ξεστοκάρετε στους νέους το μίσος είστε αρχιερέας του λαϊκισμού ,με μια εφ όλης της ύλης επίθεση εναντίον του κυριάκου μητσοτάκη αλλά και της κυβέρνησης ξεκίνησε την ομιλία του στη βουλή ο πρόεδρος του συριζα αλέξης,2021,Jun,16,2,1,0,1,1,1,1,1,2,1
