time,tweets,likes,retweet_count,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
2021-07-09 10:47:25,Δεν φτάνει που ο ΣΥΡΙΖΑ πάει κόντρα σε ένα νομοσχέδιο που αυξάνει τις επικουρικές συντάξεις των νέων βλέπει και άτακτη υποχώρηση της κυβέρνησης Αντιπολίτευση για γέλια και για κλάματα ,191,31,1,1,0,0,0,1,0,1,2,0
2021-07-08 15:00:51,Το είπαμε το κάναμε Εφαρμόζουμε αμέσως τον νόμο για την Προστασία της Εργασίας ξεκινώντας από τις νέες αυξημένες γονικές άδειες άδεια πατρότητας γονική άδεια κ για τους 2 γονείς κτλ Οι μύθοι της αντιπολίτευσης που έβλεπε γαλέρες κ μεσαίωνες θα καταρρεύσουν στην πράξη ,273,46,0,3,0,0,1,1,1,0,2,0
2021-06-29 13:25:30,Σήμερα στο ΝΑΤ σε ένα από τα πιο προβληματικά ταμεία στην Ευρώπη Οι συντάξεις απονέμονται σε 45 χρόνια Ζήτησα από τη νέα διοίκηση πρακτικές προτάσεις την άλλη εβδομάδα Κ θα προχωρήσουμε μαζί με Υπ Ναυτιλίας στη γρήγορη αντιμετώπιση του προβλήματος Με λύσεις κοινής λογικής ,367,43,0,1,0,0,0,1,0,0,0,0
2021-06-28 14:54:30,Δεν πρόκειται να μείνω θεατής στο μεγάλο πρόβλημα της εξυπηρέτησης των πολιτών από τον ΕΦΚΑ Μονιμοποίηση ηλεκτρονικών ραντεβού Ενίσχυση 50 ηλεκτρονικών υπηρεσιών Προχωρούμε ακόμα σε διάθεση επιπλέον υπηρεσιών μέσω ΚΕΠ MyEfkaLive και ενιαίο τηλεφωνικό κέντρο Υπ Εργασίας ,435,39,0,3,0,0,0,2,0,1,3,1
2021-06-25 09:33:38,Ο ΣΥΡΙΖΑ προτιμά να μη δώσουμε 120 εκατ ευρώ τον χρόνο για να έχουν οι νέοι μας αυξήσεις 4368 στις επικουρικές τους συντάξεις Παριστάνουν ότι δήθεν αγκαλιάζουν τους νέους Αλλά στην πραγματικότητα το μόνο που αγκαλιάζουν είναι τα δόγματα και τις αραχνιασμένες τους απόψεις ,268,32,0,0,0,0,0,0,0,0,0,0
2021-06-25 09:32:31,Πρέπει ο ίδιος ο κ Τσίπρας να εξηγήσει γιατί κλείνει τα μάτια του μπροστά στο σύγχρονο και ευρωπαϊκό μοντέλο μας για τις επικουρικές συντάξεις των νέων Να εξηγήσει γιατί θέλει να τους καταδικάσει σε χαμηλές συντάξεις ενώ θα μπορούν να πάρουν επικουρικές αυξημένες 4368 ,60,8,0,1,0,0,0,0,0,0,1,0
2021-06-24 14:02:25,Όσοι κατακρίνουν τη μεταρρύθμισή μας για την επικουρική ασφάλιση τι ακριβώς αντιπροτείνουν Να αγνοήσουμε τι γίνεται σε όλη την ΕΕ Να συνεχίσουμε με το ισχύον σύστημα που όλοι ξέρουμε πώς λειτούργησε τα προηγούμενα χρόνια Ή να διαιωνίσουμε το μπάχαλο που όλοι καταγγέλλουμε ,277,26,0,1,0,0,0,1,0,0,0,0
2021-06-24 13:54:31,Οι καταστροφολόγοι του ΣΥΡΙΖΑ τα βλέπουν πάλι όλα μαύρα για την ασφαλιστική μεταρρύθμιση Αγνοούν την εγγύηση για τις σημερινές συντάξεις Την εγγύηση για τους νεοεισερχόμενους Αγνοούν τι γίνεται σε όλη την Ευρώπη ,75,10,0,3,0,0,0,2,0,0,0,0
2021-06-24 13:53:24,H Ασφαλιστική Μεταρρύθμιση για τη Νέα Γενιά είναι μια παρέμβαση με το βλέμμα στους νέους Με τους ατομικούς κουμπαράδες αποκτούν έλεγχο πάνω στη σύνταξή τους Δεν αποφασίζει κανένας για αυτούς χωρίς αυτούς Τα στοιχεία στην ΕΕ δείχνουν  υψηλότερες επικουρικές συντάξεις 4368 ,108,15,1,2,0,1,0,0,0,2,2,1
2021-06-22 14:40:33,Έστειλα 10 περιπτώσεις ακραίας ταλαιπωρίας πολιτών από υπηρεσίες του ΕΦΚΑ για πειθαρχικό έλεγχο O ΕΦΚΑ κάνει κοινωνική πολιτική και δεσποτικές συμπεριφορές υπαλλήλων δεν γίνονται ανεκτέςΓι αυτό αν χρειαστεί θα προχωρήσω κ σε άλλους πειθαρχικούς  ,695,95,1,0,0,0,0,1,0,0,0,0
2021-06-16 19:50:24,Τα αποκαλυπτήρια του ΣΥΡΙΖΑ στην ονομαστική ψηφοφορία για το νομοσχέδιο για την Προστασία της ΕργασίαςΥπερψήφισαν περίπου τα μισά άρθρα αυτού του τρισκατάρατου νομοσχεδίου Περιμένουμε μια στοιχειώδη εξήγηση αν υπάρχει για αυτό το ρεσιτάλ πολιτικής τρικυμίας και υποκρισίας ,499,108,0,2,1,0,1,1,1,0,0,0
2021-06-16 17:43:13,Τώρα που η συζήτηση για το εργασιακό ολοκληρώθηκε ένα ευχαριστώ στους συναδέλφους από την αντιπολίτευση που άσκησαν κριτική σε μένα ή στο νομοσχέδιο χωρίς να καταφύγουν σε ύβρεις και στη γνωστή τοξική προσέγγιση που χαμηλώνει το επίπεδο της πολιτικής και αδικεί την Ελλάδα ,196,24,4,2,0,1,0,2,0,2,4,1
2021-06-16 17:30:30,Ο ΣΥΡΙΖΑ στη Βουλή παρά το θράσος του δεν κατόρθωσε να αμφισβητήσει τη βασική τομή του νομοσχεδίου Την ψηφιακή κάρτα εργασίας Εμείς θα την προχωρήσουμε γρήγορα Διότι είναι εγγύηση για τα δικαιώματα του εργαζομένου Εγγύηση για το 8ωρο για τις υπερωρίες για τη διευθέτηση ,223,27,1,2,0,1,0,2,0,1,3,1
2021-06-16 13:53:28, Η αντιπολίτευση κατήγγειλε το νομοσχέδιο πριν το διαβάσει Διαδήλωσε εναντίον του ενώ ακόμη διαμορφωνόταν Επιμένει ν,0,111,2,0,0,0,0,0,0,0,2,0
2021-06-16 13:53:25, Όποιος λέει ότι καταργείται το 8ωρο καταργεί την ελληνική γλώσσα η προστασία του αναφέρεται ρητά στο άρθρο 55 Αλλά,0,267,0,0,0,0,0,0,0,0,0,0
2021-06-16 13:35:53, Κάποτε πρέπει να συμφωνήσουμε στα βασικά Τα σωματεία υπάρχουν για τα μέλη τους Όχι για τα κόμματα Και οι συνδικαλι,0,117,0,0,0,0,0,0,0,0,1,0
2021-06-16 13:30:11, Η επιστροφή των συνδικαλιστών στα πραγματικά και γνήσια καθήκοντά τους θα αναβαθμίσει και τους ίδιους ως συνεπείς κοιν,0,49,0,0,0,0,0,0,0,0,0,0
2021-06-16 13:30:09, Θεσμοθετείται δημοκρατική διαφάνεια στον συνδικαλισμό Με μέτρα που τον επαναφέρουν στον αληθινό του ρόλο σε αυτόν τη,0,101,0,0,0,0,0,0,0,0,0,0
2021-06-16 13:30:01, Νομοθετούνται κανόνες για την τηλεργασία Αυτή θα γίνεται υποχρεωτική μόνο για λόγους δημόσιας υγείας με τη σχετική υ,0,70,0,1,0,0,0,1,0,0,0,0
2021-06-16 13:29:58, Εναρμονίζεται ο αριθμός των υπερωριών με τα ευρωπαϊκά δεδομένα Η νόμιμη επιπλέον απασχόληση αυξάνεται σε 150 ώρες με,0,68,0,2,0,0,0,0,0,0,0,0
2021-06-16 13:29:56, Το νομοσχέδιο αυτό εισάγει μέτρα με τα οποία οι εργαζόμενοι προστατεύονται από περιστατικά βίας και παρενοχλήσεων ώστ,0,78,0,0,0,0,0,1,0,0,0,0
2021-06-16 13:11:31, Θεσπίζεται για πρώτη φορά άδεια πατρότητας 14 ημερών με αποδοχές Μεγαλύτερη δηλαδή από το 10ήμερο της ευρωπαϊκής οδηγ,0,135,0,2,0,0,0,0,0,0,0,0
2021-06-16 13:11:28, Προβλέπεται φροντίδα για εργαζόμενους σε υπηρεσίες που παρέχονται από ψηφιακές πλατφόρμες Στο εξής τα αυτοαπασχολούμ,0,137,0,2,0,0,0,0,1,0,0,0
2021-06-16 13:11:24, Εξισώνεται η αποζημίωση απόλυσης των εργατοτεχνιτών με τους υπαλλήλους Ένα Διάταγμα του 1920 προέβλεπε ότι για τους π,0,83,0,1,0,0,0,1,0,0,1,1
2021-06-16 13:11:20, Η Επιθεώρηση Εργασίας ανασυγκροτείται Παύει να ανήκει στον εκάστοτε υπουργό Αναβαθμίζεται σε Ανεξάρτητη Αρχή όπως η,0,88,0,0,0,0,0,0,0,0,1,0
2021-06-16 13:11:17, Εισάγουμε την Ψηφιακή Κάρτα Εργασίας την οποία θα χτυπά ο εργαζόμενος χτυπώντας τη μαύρη εργασία τις αδήλωτες υπερ,0,93,0,2,1,0,1,1,1,0,1,0
2021-06-16 13:11:11, Το ΝΣ οικοδομεί ένα σύγχρονο εργασιακό περιβάλλον Ξεκινά κυρώνοντας 2 εμβληματικές Συμβάσεις της Διεθνούς Οργάνωσης,0,68,0,0,0,0,0,0,0,0,0,0
2021-06-16 11:02:59, Live  Δευτερολογία στη Βουλή για το νομοσχέδιο για την προστασία της εργασίας ,0,47,0,0,0,0,0,0,0,0,1,0
2021-06-16 11:02:57, Live  Ομιλία στη Βουλή για το νομοσχέδιο για την προστασία της εργασίας ,0,65,0,0,0,0,0,0,0,0,1,0
2021-06-16 09:04:25, Σε αντίθεση με τα εργατοπατερικά κόμματα της Αριστεράς εμείς πιστεύουμε ότι τα συνδικάτα υπάρχουν για να υπηρετούν τους,0,84,1,0,0,0,0,0,0,0,1,0
2021-06-16 09:04:17, Δείτε στο βίντεο τα μέτρα του νσχ για την Προστασία της Εργασίας για την ισορροπία επαγγελματικής και οικογενειακής ζωής,0,41,0,1,0,0,0,0,0,0,1,0
2021-06-16 09:04:13, Η ψηφιακή κάρτα εργασίας είναι μία επανάσταση στην αγορά εργασίας Είναι εγγύηση για την τήρηση του ωραρίου του εργαζομέν,0,23,1,2,0,1,1,1,1,1,3,1
2021-06-16 06:21:58,Όλοι κρινόμαστε από το έργο μας Κι εγώ ο ανάλγητος νεοφιλελεύθερος είμαι περήφανος που γλιτώσαμε 1 εκ ευρώ την ημέρα από την Ολυμπιακή και 2 εκ από τον ΟΣΕ Για τον εκσυγχρονισμό των περιφερειακών αεροδρομίων Και για τη μετοχή της ΔΕΗ που από 12 ευρώ σήμερα έχει 9 υλή ,546,93,1,1,0,1,0,0,0,0,1,0
2021-06-15 12:28:56,ΣΥΡΙΖΑ και ΚΚΕ απέφυγαν να πάρουν θέση για την αυριανή απεργία Είναι με τους συνδικαλιστές του ΜΕΤΡΟ που αποφάσισαν να κλείσουν την Αθήνα ή με τους μαθητές και τους γονείς τους Τελικά η πίεση μας είχε αποτέλεσμα και αναδιπλώθηκαν Βουλή ,144,22,1,1,1,1,1,1,2,0,2,0
2021-06-15 12:06:09,Οι προσωπικές επιθέσεις που δέχομαι με αφορμή το εργασιακό νομοσχέδιο το έκανε και ο κ Τσίπρας χθες στο STAR αποτελούν δολοφονία χαρακτήρα Έχω όμως κριθεί κατ επανάληψη από τους Έλληνες πολίτες Και γνωρίζουν καλά ότι εφαρμόζω μέτρα που ισχύουν σε όλη την Ευρώπη Βουλή ,424,56,1,2,0,1,1,0,0,1,1,1
2021-06-15 11:28:36,Δείτε τι έλεγε ο κ Τσίπρας κατά την επίσκεψη του στον Παπαστράτο το 2017 Δεν γνώριζε ότι η επιχείρηση εφαρμόζει το τρισκατάρατο σύστημα της διευθέτησης του χρόνου εργασίας Όταν τους έλεγε μπράβο δηλαδή εκθείαζε τα απλήρωτα δεκάωρα Βουλή ,261,57,0,1,0,0,0,1,1,0,2,0
2021-06-15 07:22:24,Σε αντίθεση με τα εργατοπατερικά κόμματα της Αριστεράς εμείς πιστεύουμε ότι τα συνδικάτα υπάρχουν για να υπηρετούν τους εργαζόμενους Κι όχι οι εργαζόμενοι τα συνδικάτα Γι αυτό με το νσχ για την Προστασία της Εργασίας μπαίνουν νέοι ευρωπαϊκοί κανόνες για τον συνδικαλισμό ,383,84,1,0,0,0,0,1,0,0,2,0
2021-06-14 11:16:39,Μέχρι τώρα δεν μπορούσε να απολυθεί συνδικαλιστής αν είχε εμπλακεί σε σεξουαλική παρενόχληση ή σε βιαιοπραγία εναντίον συναδέλφου Εμείς αυτό το αλλάζουμε και ο ΣΥΡΙΖΑ έκανε ένσταση αντισυνταγματικότητας Θέλουν συνδικαλιστική ασυλία σε περίπτωση βίας ή σεξουαλικής παρενόχλησης ,744,173,3,1,0,1,0,2,0,1,5,2
2021-06-14 11:13:51,Ο ΣΥΡΙΖΑ λέει ότι νόμος είναι το δίκιο του εργάτη Νόμος όμως είναι και το δίκιο του αρρώστου και του ατόμου με αναπηρία που θέλουν να εξυπηρετηθούν Του φοιτητή που θέλει να δώσει εξετάσεις και να λειτουργεί το μετρό Εκείνοι με τους εργατοπατέρες εμείς με την κοινωνία ,277,47,0,0,0,0,0,2,0,1,1,0
2021-06-11 12:36:24,Ο ΣΥΡΙΖΑ από το κομματικό του πάθος θα καταψηφίσει μια σειρά από ολοφάνερα χρήσιμες για τους εργαζομένους διατάξεις Περισσότερο από ότι για τους εργαζομένους νοιάζονται για έναν εργατοπατερικό συνδικαλισμό Και παράλληλα έχουν βάλει οι ίδιοι ρότα για τον Μεσαίωνα Βουλή ,342,55,1,2,1,0,0,3,1,0,1,0
2021-06-11 12:34:12,Ο ΣΥΡΙΖΑ ενώ δέχεται τις υπερωρίες με ατομική σύμβαση και μάλιστα χωρίς πρωτοβουλία του εργαζομένου έρχεται στη διευθέτηση του χρόνου εργασίας και λέει όχι προς Θεού Είναι συνέπεια αυτό Αδιάβαστη αντιπολίτευση Βουλή ,141,28,3,2,0,2,0,1,0,2,4,2
2021-06-11 10:19:34, Το νέο εργασιακό νομοσχέδιο δίνει δύναμη στον εργαζόμενο Για παράδειγμα ένας εργαζόμενος στις διανομές θα έχει περισ,0,155,1,2,0,1,0,1,0,0,1,1
2021-06-10 16:44:09,Η αντιπολίτευση κάνει το άσπρο μαύρο για εργασιακό Κάνει πως δεν βλέπει τα τόσα θετικά κι έχει κολλήσει στην καραμέλα της διευθέτησης του χρόνου εργασίας όπου εφαρμόζουμε ότι ισχύει στην πλειονότητα των χωρών της ΕΕ Και σε ΙσπανίαΠορτογαλία με Αριστερούς στην κυβέρνηση ,361,66,1,4,3,1,0,4,2,1,4,1
2021-06-09 16:53:06,Ο ΣΥΡΙΖΑ ισχυρίζεται ότι έχει το μονοπώλιο της καρδιάς κ της ευαισθησίας Εγώ εκείνο που βλέπω είναι ότι έχουν το μονοπώλιο στο δογματισμό και τη στασιμότητα Στην υπεράσπιση προνομίων ορισμένων συντεχνιών και συνδικαλιστών Τους αφήνουμε λοιπόν με τα ξεπερασμένα συνθήματά τους ,107,18,1,1,1,1,0,1,1,0,0,1
2021-06-09 16:36:48,Παρουσίασα στη Βουλή στοιχεία που αποδεικνύουν ότι στη πλειονότητα των κρατών της ΕΕ ισχύουν οι ΑΤΟΜΙΚΕΣ συμβάσεις στη διευθέτηση χρόνου εργασίας Μεταξύ των κρατών είναι η Ισπανία με  στην κυβέρνηση σήμερα Κι η Πορτογαλία με την Αριστερά Τι λέει ο ΣΥΡΙΖΑ γι αυτό ,186,38,0,2,1,0,0,2,0,1,3,1
2021-06-09 15:28:34, Διαβάζουμε σε ανακοίνωση του ΔΣ της ΕΣΗΕΑ ότι στο Νομοσχέδιο για την Προστασία της Εργασίας επιβάλλεται μείωση των α,0,60,0,0,0,0,0,0,1,0,2,0
2021-06-09 14:27:35,Δείτε στο βίντεο τα μέτρα του νσχ για την Προστασία της Εργασίας για την ισορροπία επαγγελματικής και οικογενειακής ζωής γονικές άδειες άδειες πατρότητας κτλ που ο ΣΥΡΙΖΑ θα καταψηφίσει με οργή και αγανάκτηση Τι θα πουν στους εργαζομένους τους οποίους δήθεν υποστηρίζουν ,150,41,2,1,0,1,0,0,0,0,3,0
2021-06-09 07:51:48,Προβλέπω ότι ο ΣΥΡΙΖΑ στο τέλος θα φύγει από την ονομαστική ψηφοφορία του εργασιακού Διότι διαφορετικά θα αναγκαστεί να ψηφίσει τα 56 των διατάξεων Και τότε το νομοσχέδιο δεν μπορεί να θεωρείται ολετήρας και οδοστρωτήρας Θα είναι τα πολιτικά τους αποκαλυπτήρια Βουλή ,311,67,2,2,0,1,2,2,2,0,2,0
2021-06-08 15:44:49,Άλλο απεργία και άλλο παρανομία Την αστική ευθύνη των συνδικαλιστών τη θεσπίζουμε για περιπτώσεις όπως αυτή του κ Νταλακογιώργου και της ΠΕΝΕΝ που ενώ είχε κριθεί η απεργία παράνομη έβαλαν μπλόκο στο λιμάνι του Πειραιά Αν ο ΣΥΡΙΖΑ είναι υπέρ της παρανομίας να το πει Βουλή ,289,69,3,0,0,1,0,1,0,1,3,1
